Chapters requiring attention (|diff| >= 2):
============================================================

Volume 1:
  Ch            1: PDF=116 Ext= 82 Diff=  34 [UNDER]
  Ch     1055(78): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     1072(95): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch    1078(101): PDF=  6 Ext=  8 Diff=  -2 [OVER]
  Ch    1084(107): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch    1091(114): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch    1100(123): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch    1101(124): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch    1129(152): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch    1138(161): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch    1141(164): PDF= 22 Ext= 24 Diff=  -2 [OVER]
  Ch    1149(172): PDF=  8 Ext= 10 Diff=  -2 [OVER]
  Ch    1150(173): PDF=  6 Ext=  8 Diff=  -2 [OVER]

Volume 7:
  Ch      1151(1): PDF= 33 Ext=  3 Diff=  30 [UNDER]
  Ch          205: PDF= 20 Ext=  0 Diff=  20 [UNDER]
  Ch     1256(37): PDF=  7 Ext= 10 Diff=  -3 [OVER]
  Ch      1155(5): PDF=  7 Ext=  9 Diff=  -2 [OVER]
  Ch          195: PDF=  2 Ext=  0 Diff=   2 [UNDER]
  Ch          257: PDF=  2 Ext=  0 Diff=   2 [UNDER]
  Ch          169: PDF=  2 Ext=  0 Diff=   2 [UNDER]
  Ch          191: PDF=  2 Ext=  0 Diff=   2 [UNDER]

Volume 8:
  Ch     1387(59): PDF=  5 Ext=  9 Diff=  -4 [OVER]
  Ch     1388(60): PDF=  3 Ext=  7 Diff=  -4 [OVER]
  Ch     1298(15): PDF=  3 Ext=  6 Diff=  -3 [OVER]
  Ch      1290(7): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch      1292(9): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch     1325(24): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     1339(11): PDF=  6 Ext=  8 Diff=  -2 [OVER]
  Ch     1369(41): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     1375(47): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch     1389(61): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch     1391(63): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch     1401(73): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     1408(80): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     1414(86): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     1425(97): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch    1429(101): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch    1446(118): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch    1477(149): PDF= 13 Ext= 15 Diff=  -2 [OVER]
  Ch    1491(163): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch    1497(169): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch    1505(177): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch    1509(181): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch    1527(199): PDF=  0 Ext=  2 Diff=  -2 [OVER]

Volume 9:
  Ch     1704(23): PDF= 17 Ext= 23 Diff=  -6 [OVER]
  Ch    1606(278): PDF=  3 Ext=  6 Diff=  -3 [OVER]
  Ch    1546(218): PDF= 22 Ext= 24 Diff=  -2 [OVER]
  Ch    1589(261): PDF=  6 Ext=  8 Diff=  -2 [OVER]
  Ch    1616(288): PDF=  9 Ext= 11 Diff=  -2 [OVER]
  Ch    1630(302): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch    1645(317): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch    1650(322): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch    1657(329): PDF=  6 Ext=  8 Diff=  -2 [OVER]
